TxnDate,RefNumber,Account,Debit,Credit,Name,Memo
2/7/2025,32219,1330 · Vendor Receivable: Galderma,20,,2844b897-1fd7-4d90-9253-2710b31c0378,Vendor receivable from Aspire Awards for invoice 00032219
2/7/2025,32219,Accounts Receivable,,20,2844b897-1fd7-4d90-9253-2710b31c0378,Vendor receivable from Aspire Awards for invoice 00032219
2/8/2025,32229,1310 · Vendor Receivable: Allergan,120,,8ede6956-c0cd-4ae4-bf19-37a94e4598aa,Vendor receivable from Alle Rewards for invoice 00032229
2/8/2025,32229,Accounts Receivable,,120,8ede6956-c0cd-4ae4-bf19-37a94e4598aa,Vendor receivable from Alle Rewards for invoice 00032229
2/11/2025,32243,1330 · Vendor Receivable: Galderma,50,,45fb6c75-0da9-492a-ac23-ce4acb66ff68,Vendor receivable from Aspire Awards for invoice 00032243
2/11/2025,32243,Accounts Receivable,,50,45fb6c75-0da9-492a-ac23-ce4acb66ff68,Vendor receivable from Aspire Awards for invoice 00032243
2/11/2025,32243,1310 · Vendor Receivable: Allergan,40,,45fb6c75-0da9-492a-ac23-ce4acb66ff68,Vendor receivable from Alle Rewards for invoice 00032243
2/11/2025,32243,Accounts Receivable,,40,45fb6c75-0da9-492a-ac23-ce4acb66ff68,Vendor receivable from Alle Rewards for invoice 00032243
2/11/2025,32244,1330 · Vendor Receivable: Galderma,50,,0154db70-4380-4079-8fec-c0cfa09e094e,Vendor receivable from Aspire Awards for invoice 00032244
2/11/2025,32244,Accounts Receivable,,50,0154db70-4380-4079-8fec-c0cfa09e094e,Vendor receivable from Aspire Awards for invoice 00032244
2/14/2025,32265,1310 · Vendor Receivable: Allergan,20,,ca2d1b29-0d9e-4dba-8ba8-6992791c607f,Vendor receivable from Alle Rewards for invoice 00032265
2/14/2025,32265,Accounts Receivable,,20,ca2d1b29-0d9e-4dba-8ba8-6992791c607f,Vendor receivable from Alle Rewards for invoice 00032265
2/14/2025,32265,1330 · Vendor Receivable: Galderma,50,,ca2d1b29-0d9e-4dba-8ba8-6992791c607f,Vendor receivable from Aspire Awards for invoice 00032265
2/14/2025,32265,Accounts Receivable,,50,ca2d1b29-0d9e-4dba-8ba8-6992791c607f,Vendor receivable from Aspire Awards for invoice 00032265
2/14/2025,32271,1310 · Vendor Receivable: Allergan,60,,fe21f5a8-9e2c-45e6-bf65-9cbfd63b9d7c,Vendor receivable from Alle Rewards for invoice 00032271
2/14/2025,32271,Accounts Receivable,,60,fe21f5a8-9e2c-45e6-bf65-9cbfd63b9d7c,Vendor receivable from Alle Rewards for invoice 00032271
2/14/2025,32273,1310 · Vendor Receivable: Allergan,20,,a2835682-54a8-45c1-80fc-d78b60aefa73,Vendor receivable from Alle Rewards for invoice 00032273
2/14/2025,32273,Accounts Receivable,,20,a2835682-54a8-45c1-80fc-d78b60aefa73,Vendor receivable from Alle Rewards for invoice 00032273
2/14/2025,32273,1210 · Cherry Receivable,799.62,,a2835682-54a8-45c1-80fc-d78b60aefa73,Vendor receivable from Cherry for invoice 00032273
2/14/2025,32273,Accounts Receivable,,799.62,a2835682-54a8-45c1-80fc-d78b60aefa73,Vendor receivable from Cherry for invoice 00032273
2/19/2025,32297,1310 · Vendor Receivable: Allergan,40,,f2c31ed8-afe8-496c-87e6-956b042e0cc8,Vendor receivable from Alle Rewards for invoice 00032297
2/19/2025,32297,Accounts Receivable,,40,f2c31ed8-afe8-496c-87e6-956b042e0cc8,Vendor receivable from Alle Rewards for invoice 00032297
2/19/2025,32300,1310 · Vendor Receivable: Allergan,80,,f8ab3a44-1bb6-4643-81ab-4d1f7069075f,Vendor receivable from Alle Rewards for invoice 00032300
2/19/2025,32300,Accounts Receivable,,80,f8ab3a44-1bb6-4643-81ab-4d1f7069075f,Vendor receivable from Alle Rewards for invoice 00032300
2/19/2025,32301,1310 · Vendor Receivable: Allergan,20,,5f66c0bb-a585-45df-b553-216dcbb4c335,Vendor receivable from Alle Rewards for invoice 00032301
2/19/2025,32301,Accounts Receivable,,20,5f66c0bb-a585-45df-b553-216dcbb4c335,Vendor receivable from Alle Rewards for invoice 00032301
2/19/2025,32302,1310 · Vendor Receivable: Allergan,100,,e1f3fa70-7bb0-4d60-b45d-96d5a32f43c5,Vendor receivable from Alle Rewards for invoice 00032302
2/19/2025,32302,Accounts Receivable,,100,e1f3fa70-7bb0-4d60-b45d-96d5a32f43c5,Vendor receivable from Alle Rewards for invoice 00032302
2/19/2025,32302,1330 · Vendor Receivable: Galderma,50,,e1f3fa70-7bb0-4d60-b45d-96d5a32f43c5,Vendor receivable from Aspire Awards for invoice 00032302
2/19/2025,32302,Accounts Receivable,,50,e1f3fa70-7bb0-4d60-b45d-96d5a32f43c5,Vendor receivable from Aspire Awards for invoice 00032302
2/19/2025,32304,1310 · Vendor Receivable: Allergan,40,,520470fc-0bad-4350-9fd7-846477f95609,Vendor receivable from Alle Rewards for invoice 00032304
2/19/2025,32304,Accounts Receivable,,40,520470fc-0bad-4350-9fd7-846477f95609,Vendor receivable from Alle Rewards for invoice 00032304
2/19/2025,32306,1310 · Vendor Receivable: Allergan,25,,a47dfe0f-d8aa-4025-b70c-59d64377c2a6,Vendor receivable from Alle Rewards for invoice 00032306
2/19/2025,32306,Accounts Receivable,,25,a47dfe0f-d8aa-4025-b70c-59d64377c2a6,Vendor receivable from Alle Rewards for invoice 00032306
2/19/2025,32309,1310 · Vendor Receivable: Allergan,40,,328fe137-c6e7-4f49-8da7-83d975cf3c38,Vendor receivable from Alle Rewards for invoice 00032309
2/19/2025,32309,Accounts Receivable,,40,328fe137-c6e7-4f49-8da7-83d975cf3c38,Vendor receivable from Alle Rewards for invoice 00032309
2/21/2025,31145,1330 · Vendor Receivable: Galderma,50,,8a59b564-5363-4700-bb0e-510948aab9cd,Vendor receivable from Aspire Awards for invoice 00031145
2/21/2025,31145,Accounts Receivable,,50,8a59b564-5363-4700-bb0e-510948aab9cd,Vendor receivable from Aspire Awards for invoice 00031145
2/21/2025,32329,1310 · Vendor Receivable: Allergan,20,,71b5dbdb-3006-4972-87da-68b9f9d29f86,Vendor receivable from Alle Rewards for invoice 00032329
2/21/2025,32329,Accounts Receivable,,20,71b5dbdb-3006-4972-87da-68b9f9d29f86,Vendor receivable from Alle Rewards for invoice 00032329
2/26/2025,32226,1310 · Vendor Receivable: Allergan,150,,850eed8e-993b-4957-8f7b-60ec78ad6f07,Vendor receivable from Alle Rewards for invoice 00032226
2/26/2025,32226,Accounts Receivable,,150,850eed8e-993b-4957-8f7b-60ec78ad6f07,Vendor receivable from Alle Rewards for invoice 00032226
2/26/2025,32354,1310 · Vendor Receivable: Allergan,20,,0dd5a81b-e8b7-4575-bb2f-97f47d90f638,Vendor receivable from Alle Rewards for invoice 00032354
2/26/2025,32354,Accounts Receivable,,20,0dd5a81b-e8b7-4575-bb2f-97f47d90f638,Vendor receivable from Alle Rewards for invoice 00032354
2/26/2025,32355,1310 · Vendor Receivable: Allergan,20,,bced6a0e-0879-4ffc-95ea-c347223fe3b5,Vendor receivable from Alle Rewards for invoice 00032355
2/26/2025,32355,Accounts Receivable,,20,bced6a0e-0879-4ffc-95ea-c347223fe3b5,Vendor receivable from Alle Rewards for invoice 00032355
2/28/2025,32369,1310 · Vendor Receivable: Allergan,20,,5d2c3c8d-a2c4-4f00-89cc-c1ea7ac625d4,Vendor receivable from Alle Rewards for invoice 00032369
2/28/2025,32369,Accounts Receivable,,20,5d2c3c8d-a2c4-4f00-89cc-c1ea7ac625d4,Vendor receivable from Alle Rewards for invoice 00032369
2/28/2025,32372,1310 · Vendor Receivable: Allergan,20,,b6dd7bd2-f305-408d-9567-8052ec50c678,Vendor receivable from Alle Rewards for invoice 00032372
2/28/2025,32372,Accounts Receivable,,20,b6dd7bd2-f305-408d-9567-8052ec50c678,Vendor receivable from Alle Rewards for invoice 00032372
2/28/2025,32374,1310 · Vendor Receivable: Allergan,30,,84886c9f-1236-4626-b998-68e426ca869d,Vendor receivable from Alle Rewards for invoice 00032374
2/28/2025,32374,Accounts Receivable,,30,84886c9f-1236-4626-b998-68e426ca869d,Vendor receivable from Alle Rewards for invoice 00032374
3/5/2025,32414,1310 · Vendor Receivable: Allergan,40,,adf165d7-c723-4e70-afcc-4bc4633de85b,Vendor receivable from Alle Rewards for invoice 00032414
3/5/2025,32414,Accounts Receivable,,40,adf165d7-c723-4e70-afcc-4bc4633de85b,Vendor receivable from Alle Rewards for invoice 00032414
3/5/2025,32416,1310 · Vendor Receivable: Allergan,40,,39518f2e-1bcc-42bf-888b-0cccabab3554,Vendor receivable from Alle Rewards for invoice 00032416
3/5/2025,32416,Accounts Receivable,,40,39518f2e-1bcc-42bf-888b-0cccabab3554,Vendor receivable from Alle Rewards for invoice 00032416
3/5/2025,32417,1310 · Vendor Receivable: Allergan,50,,f3419cdc-142d-4010-ae9a-4d1aa76d8e8d,Vendor receivable from Alle Rewards for invoice 00032417
3/5/2025,32417,Accounts Receivable,,50,f3419cdc-142d-4010-ae9a-4d1aa76d8e8d,Vendor receivable from Alle Rewards for invoice 00032417
3/5/2025,32417,1330 · Vendor Receivable: Galderma,20,,f3419cdc-142d-4010-ae9a-4d1aa76d8e8d,Vendor receivable from Aspire Awards for invoice 00032417
3/5/2025,32417,Accounts Receivable,,20,f3419cdc-142d-4010-ae9a-4d1aa76d8e8d,Vendor receivable from Aspire Awards for invoice 00032417
3/7/2025,32431,1310 · Vendor Receivable: Allergan,70,,6aba4ea7-0b7b-47d0-a30a-703a66e47887,Vendor receivable from Alle Rewards for invoice 00032431
3/7/2025,32431,Accounts Receivable,,70,6aba4ea7-0b7b-47d0-a30a-703a66e47887,Vendor receivable from Alle Rewards for invoice 00032431
3/7/2025,32432,1310 · Vendor Receivable: Allergan,20,,9701f4a9-f157-4945-8289-144d52196dac,Vendor receivable from Alle Rewards for invoice 00032432
3/7/2025,32432,Accounts Receivable,,20,9701f4a9-f157-4945-8289-144d52196dac,Vendor receivable from Alle Rewards for invoice 00032432
3/7/2025,32433,1310 · Vendor Receivable: Allergan,64,,0d4dd0d3-1192-49f5-99be-12f6e416650c,Vendor receivable from Alle Rewards for invoice 00032433
3/7/2025,32433,Accounts Receivable,,64,0d4dd0d3-1192-49f5-99be-12f6e416650c,Vendor receivable from Alle Rewards for invoice 00032433
3/7/2025,32434,1310 · Vendor Receivable: Allergan,20,,a47dfe0f-d8aa-4025-b70c-59d64377c2a6,Vendor receivable from Alle Rewards for invoice 00032434
3/7/2025,32434,Accounts Receivable,,20,a47dfe0f-d8aa-4025-b70c-59d64377c2a6,Vendor receivable from Alle Rewards for invoice 00032434
3/7/2025,32441,1330 · Vendor Receivable: Galderma,40,,8a59b564-5363-4700-bb0e-510948aab9cd,Vendor receivable from Aspire Awards for invoice 00032441
3/7/2025,32441,Accounts Receivable,,40,8a59b564-5363-4700-bb0e-510948aab9cd,Vendor receivable from Aspire Awards for invoice 00032441
3/7/2025,32441,1310 · Vendor Receivable: Allergan,20,,8a59b564-5363-4700-bb0e-510948aab9cd,Vendor receivable from Alle Rewards for invoice 00032441
3/7/2025,32441,Accounts Receivable,,20,8a59b564-5363-4700-bb0e-510948aab9cd,Vendor receivable from Alle Rewards for invoice 00032441
3/12/2025,32383,1310 · Vendor Receivable: Allergan,120,,5e69d0ba-f7ea-4e2c-8324-3f68d945054a,Vendor receivable from Alle Rewards for invoice 00032383
3/12/2025,32383,Accounts Receivable,,120,5e69d0ba-f7ea-4e2c-8324-3f68d945054a,Vendor receivable from Alle Rewards for invoice 00032383
3/12/2025,32475,1310 · Vendor Receivable: Allergan,360,,80788200-0a52-403c-bb17-47683e076ff2,Vendor receivable from Alle Rewards for invoice 00032475
3/12/2025,32475,Accounts Receivable,,360,80788200-0a52-403c-bb17-47683e076ff2,Vendor receivable from Alle Rewards for invoice 00032475
3/12/2025,32476,1310 · Vendor Receivable: Allergan,120,,5ee303d5-6ca4-4c6c-806d-04744b7552dc,Vendor receivable from Alle Rewards for invoice 00032476
3/12/2025,32476,Accounts Receivable,,120,5ee303d5-6ca4-4c6c-806d-04744b7552dc,Vendor receivable from Alle Rewards for invoice 00032476
3/12/2025,32480,1310 · Vendor Receivable: Allergan,25,,3781f4a8-d7c3-44a4-81dc-c35da019fede,Vendor receivable from Alle Rewards for invoice 00032480
3/12/2025,32480,Accounts Receivable,,25,3781f4a8-d7c3-44a4-81dc-c35da019fede,Vendor receivable from Alle Rewards for invoice 00032480
3/14/2025,32494,1310 · Vendor Receivable: Allergan,40,,fb03edd7-1328-4ce5-bed1-06fba1d97acd,Vendor receivable from Alle Rewards for invoice 00032494
3/14/2025,32494,Accounts Receivable,,40,fb03edd7-1328-4ce5-bed1-06fba1d97acd,Vendor receivable from Alle Rewards for invoice 00032494
3/14/2025,32496,1310 · Vendor Receivable: Allergan,50,,55833f13-6798-4e8b-9854-4ff64bd4ca89,Vendor receivable from Alle Rewards for invoice 00032496
3/14/2025,32496,Accounts Receivable,,50,55833f13-6798-4e8b-9854-4ff64bd4ca89,Vendor receivable from Alle Rewards for invoice 00032496
3/19/2025,32516,1310 · Vendor Receivable: Allergan,20,,01a2d0fa-38eb-421f-b283-7b360f629a52,Vendor receivable from Alle Rewards for invoice 00032516
3/19/2025,32516,Accounts Receivable,,20,01a2d0fa-38eb-421f-b283-7b360f629a52,Vendor receivable from Alle Rewards for invoice 00032516
3/21/2025,32521,1310 · Vendor Receivable: Allergan,20,,00387316-f27a-4f12-afad-c876ae0d1a1f,Vendor receivable from Alle Rewards for invoice 00032521
3/21/2025,32521,Accounts Receivable,,20,00387316-f27a-4f12-afad-c876ae0d1a1f,Vendor receivable from Alle Rewards for invoice 00032521
3/21/2025,32525,1310 · Vendor Receivable: Allergan,40,,ff964ee0-4b07-4770-b099-edd5fffb4c15,Vendor receivable from Alle Rewards for invoice 00032525
3/21/2025,32525,Accounts Receivable,,40,ff964ee0-4b07-4770-b099-edd5fffb4c15,Vendor receivable from Alle Rewards for invoice 00032525
3/21/2025,32526,1310 · Vendor Receivable: Allergan,20,,70b11ce3-3b12-4864-a027-372e95f76ed5,Vendor receivable from Alle Rewards for invoice 00032526
3/21/2025,32526,Accounts Receivable,,20,70b11ce3-3b12-4864-a027-372e95f76ed5,Vendor receivable from Alle Rewards for invoice 00032526
3/21/2025,32527,1310 · Vendor Receivable: Allergan,20,,891313b5-ff60-458b-a49c-08adb0ababa6,Vendor receivable from Alle Rewards for invoice 00032527
3/21/2025,32527,Accounts Receivable,,20,891313b5-ff60-458b-a49c-08adb0ababa6,Vendor receivable from Alle Rewards for invoice 00032527
3/21/2025,32531,1310 · Vendor Receivable: Allergan,20,,84886c9f-1236-4626-b998-68e426ca869d,Vendor receivable from Alle Rewards for invoice 00032531
3/21/2025,32531,Accounts Receivable,,20,84886c9f-1236-4626-b998-68e426ca869d,Vendor receivable from Alle Rewards for invoice 00032531
3/26/2025,32571,1310 · Vendor Receivable: Allergan,50,,8ee0b25e-b8cc-4828-8c6d-cbe0ff2eba5e,Vendor receivable from Alle Rewards for invoice 00032571
3/26/2025,32571,Accounts Receivable,,50,8ee0b25e-b8cc-4828-8c6d-cbe0ff2eba5e,Vendor receivable from Alle Rewards for invoice 00032571
3/26/2025,32571,1330 · Vendor Receivable: Galderma,25,,8ee0b25e-b8cc-4828-8c6d-cbe0ff2eba5e,Vendor receivable from Aspire Awards for invoice 00032571
3/26/2025,32571,Accounts Receivable,,25,8ee0b25e-b8cc-4828-8c6d-cbe0ff2eba5e,Vendor receivable from Aspire Awards for invoice 00032571
3/26/2025,32572,1310 · Vendor Receivable: Allergan,40,,c0d05d0b-749f-47bc-8df7-86274a1cda7a,Vendor receivable from Alle Rewards for invoice 00032572
3/26/2025,32572,Accounts Receivable,,40,c0d05d0b-749f-47bc-8df7-86274a1cda7a,Vendor receivable from Alle Rewards for invoice 00032572
3/28/2025,32587,1330 · Vendor Receivable: Galderma,85,,ad564527-59cf-4c9e-918c-0bdb19c6510a,Vendor receivable from Aspire Awards for invoice 00032587
3/28/2025,32587,Accounts Receivable,,85,ad564527-59cf-4c9e-918c-0bdb19c6510a,Vendor receivable from Aspire Awards for invoice 00032587
3/28/2025,32592,1330 · Vendor Receivable: Galderma,45,,74b5adcd-6c6b-4ecf-8a4a-d4b05dd11466,Vendor receivable from Aspire Awards for invoice 00032592
3/28/2025,32592,Accounts Receivable,,45,74b5adcd-6c6b-4ecf-8a4a-d4b05dd11466,Vendor receivable from Aspire Awards for invoice 00032592
3/28/2025,32592,1310 · Vendor Receivable: Allergan,90,,74b5adcd-6c6b-4ecf-8a4a-d4b05dd11466,Vendor receivable from Alle Rewards for invoice 00032592
3/28/2025,32592,Accounts Receivable,,90,74b5adcd-6c6b-4ecf-8a4a-d4b05dd11466,Vendor receivable from Alle Rewards for invoice 00032592
3/28/2025,32592,1210 · Cherry Receivable,1229.39,,74b5adcd-6c6b-4ecf-8a4a-d4b05dd11466,Vendor receivable from Cherry for invoice 00032592
3/28/2025,32592,Accounts Receivable,,1229.39,74b5adcd-6c6b-4ecf-8a4a-d4b05dd11466,Vendor receivable from Cherry for invoice 00032592
3/28/2025,32593,1310 · Vendor Receivable: Allergan,20,,a2a4741f-bced-45dc-8ea5-126b55e919a4,Vendor receivable from Alle Rewards for invoice 00032593
3/28/2025,32593,Accounts Receivable,,20,a2a4741f-bced-45dc-8ea5-126b55e919a4,Vendor receivable from Alle Rewards for invoice 00032593
3/28/2025,32601,1310 · Vendor Receivable: Allergan,150,,e6d299c4-9123-46ab-8fd7-aded5458b066,Vendor receivable from Alle Rewards for invoice 00032601
3/28/2025,32601,Accounts Receivable,,150,e6d299c4-9123-46ab-8fd7-aded5458b066,Vendor receivable from Alle Rewards for invoice 00032601
3/28/2025,32602,1310 · Vendor Receivable: Allergan,120,,aa1b624b-5292-4806-9d73-a73b2c24d3f5,Vendor receivable from Alle Rewards for invoice 00032602
3/28/2025,32602,Accounts Receivable,,120,aa1b624b-5292-4806-9d73-a73b2c24d3f5,Vendor receivable from Alle Rewards for invoice 00032602
4/2/2025,33619,1310 · Vendor Receivable: Allergan,60,,5d965ce6-acc6-4762-870a-c2a6aa819343,Vendor receivable from Alle Rewards for invoice 00033619
4/2/2025,33619,Accounts Receivable,,60,5d965ce6-acc6-4762-870a-c2a6aa819343,Vendor receivable from Alle Rewards for invoice 00033619
