TxnDate,RefNumber,Account,Debit,Credit,Name,Memo
4/16/2025,33709,1310 · Vendor Receivable: Allergan,20,,c2381412-c865-4bfe-8e7e-8a0fc1d0846a,Vendor receivable from Alle Rewards for invoice 00033709
4/16/2025,33709,Accounts Receivable,,20,c2381412-c865-4bfe-8e7e-8a0fc1d0846a,Vendor receivable from Alle Rewards for invoice 00033709
4/16/2025,33713,1310 · Vendor Receivable: Allergan,60,,850eed8e-993b-4957-8f7b-60ec78ad6f07,Vendor receivable from Alle Rewards for invoice 00033713
4/16/2025,33713,Accounts Receivable,,60,850eed8e-993b-4957-8f7b-60ec78ad6f07,Vendor receivable from Alle Rewards for invoice 00033713
4/16/2025,33718,1310 · Vendor Receivable: Allergan,40,,425bc7d4-bc3c-4ed7-b692-c724050545fa,Vendor receivable from Alle Rewards for invoice 00033718
4/16/2025,33718,Accounts Receivable,,40,425bc7d4-bc3c-4ed7-b692-c724050545fa,Vendor receivable from Alle Rewards for invoice 00033718
4/16/2025,33719,1310 · Vendor Receivable: Allergan,40,,dfe3ba2e-ec3b-4d42-a904-93df6fe8fe20,Vendor receivable from Alle Rewards for invoice 00033719
4/16/2025,33719,Accounts Receivable,,40,dfe3ba2e-ec3b-4d42-a904-93df6fe8fe20,Vendor receivable from Alle Rewards for invoice 00033719
4/16/2025,33720,1310 · Vendor Receivable: Allergan,65,,a5b66bfc-8447-4582-b340-bff0f4e78af7,Vendor receivable from Alle Rewards for invoice 00033720
4/16/2025,33720,Accounts Receivable,,65,a5b66bfc-8447-4582-b340-bff0f4e78af7,Vendor receivable from Alle Rewards for invoice 00033720
4/16/2025,33721,1310 · Vendor Receivable: Allergan,80,,4badf727-a203-41ef-99f0-72e713a1450a,Vendor receivable from Alle Rewards for invoice 00033721
4/16/2025,33721,Accounts Receivable,,80,4badf727-a203-41ef-99f0-72e713a1450a,Vendor receivable from Alle Rewards for invoice 00033721
4/16/2025,33722,1310 · Vendor Receivable: Allergan,65,,63dd5c33-66dc-468f-8375-c098d665b9f2,Vendor receivable from Alle Rewards for invoice 00033722
